indice_tiempo,region_de_destino,categoria_del_hotel,tasa_de_ocupacion_plazas,observaciones
2012-05-01,Buenos Aires,4 y 5 estrellas,0.18,""
2012-05-01,Buenos Aires,Para Hoteles,0.14,""
2012-05-01,Buenos Aires,Total,0.14,""
2012-05-01,CABA,1 y 2 estrellas,0.37,""
2012-05-01,CABA,3 estrellas/boutiques/aparts,0.41,""
2012-05-01,CABA,4 y 5 estrellas,0.43,""
2012-05-01,CABA,Para Hoteles,0.31,""
2012-05-01,CABA,Total,0.39,""
2012-05-01,Cuyo,1 y 2 estrellas,0.2,""
2012-05-01,Cuyo,3 estrellas/boutiques/aparts,0.25,""
2012-05-01,Cuyo,4 y 5 estrellas,0.25,""
2012-05-01,Cuyo,Para Hoteles,0.13,""
2012-05-01,Cuyo,Total,0.21,""
2012-05-01,Córdoba,1 y 2 estrellas,0.3,""
2012-05-01,Córdoba,3 estrellas/boutiques/aparts,0.32,""
2012-05-01,Córdoba,4 y 5 estrellas,0.33,""
2012-05-01,Córdoba,Para Hoteles,0.11,""
2012-05-01,Córdoba,Total,0.24,""
2012-05-01,Litoral,1 y 2 estrellas,0.23,""
2012-05-01,Litoral,3 estrellas/boutiques/aparts,0.29,""
2012-05-01,Litoral,4 y 5 estrellas,0.32,""
2012-05-01,Litoral,Para Hoteles,0.19,""
2012-05-01,Litoral,Total,0.26,""
2012-05-01,Norte,1 y 2 estrellas,0.14,""
2012-05-01,Norte,3 estrellas/boutiques/aparts,0.23,""
2012-05-01,Norte,4 y 5 estrellas,0.32,""
2012-05-01,Norte,Para Hoteles,0.17,""
2012-05-01,Norte,Total,0.2,""
2012-05-01,Patagonia,1 y 2 estrellas,0.25,""
2012-05-01,Patagonia,3 estrellas/boutiques/aparts,0.17,""
2012-05-01,Patagonia,4 y 5 estrellas,0.18,""
2012-05-01,Patagonia,Para Hoteles,0.12,""
2012-05-01,Patagonia,Total,0.17,""
2012-06-01,Buenos Aires,1 y 2 estrellas,0.11,""
2012-06-01,Buenos Aires,3 estrellas/boutiques/aparts,0.12,""
2012-06-01,Buenos Aires,4 y 5 estrellas,0.14,""
2012-06-01,Buenos Aires,Para Hoteles,0.1,""
2012-06-01,Buenos Aires,Total,0.11,""
2012-06-01,CABA,1 y 2 estrellas,0.4,""
2012-06-01,CABA,3 estrellas/boutiques/aparts,0.42,""
2012-06-01,CABA,4 y 5 estrellas,0.45,""
2012-06-01,CABA,Para Hoteles,0.32,""
2012-06-01,CABA,Total,0.41,""
2012-06-01,Cuyo,1 y 2 estrellas,0.18,""
2012-06-01,Cuyo,3 estrellas/boutiques/aparts,0.23,""
2012-06-01,Cuyo,4 y 5 estrellas,0.26,""
2012-06-01,Cuyo,Para Hoteles,0.12,""
2012-06-01,Cuyo,Total,0.2,""
2012-06-01,Córdoba,1 y 2 estrellas,0.14,""
2012-06-01,Córdoba,3 estrellas/boutiques/aparts,0.23,""
2012-06-01,Córdoba,4 y 5 estrellas,0.29,""
2012-06-01,Córdoba,Para Hoteles,0.07,""
2012-06-01,Córdoba,Total,0.15,""
2012-06-01,Litoral,1 y 2 estrellas,0.25,""
2012-06-01,Litoral,3 estrellas/boutiques/aparts,0.31,""
2012-06-01,Litoral,4 y 5 estrellas,0.34,""
2012-06-01,Litoral,Para Hoteles,0.17,""
2012-06-01,Litoral,Total,0.27,""
2012-06-01,Norte,1 y 2 estrellas,0.19,""
2012-06-01,Norte,3 estrellas/boutiques/aparts,0.23,""
2012-06-01,Norte,4 y 5 estrellas,0.34,""
2012-06-01,Norte,Para Hoteles,0.15,""
2012-06-01,Norte,Total,0.21,""
2012-06-01,Patagonia,1 y 2 estrellas,0.21,""
2012-06-01,Patagonia,3 estrellas/boutiques/aparts,0.19,""
2012-06-01,Patagonia,4 y 5 estrellas,0.23,""
2012-06-01,Patagonia,Para Hoteles,0.1,""
2012-06-01,Patagonia,Total,0.17,""
2012-07-01,Buenos Aires,1 y 2 estrellas,0.14,""
2012-07-01,Buenos Aires,3 estrellas/boutiques/aparts,0.23,""
2012-07-01,Buenos Aires,4 y 5 estrellas,0.26,""
2012-07-01,Buenos Aires,Para Hoteles,0.2,""
2012-07-01,Buenos Aires,Total,0.2,""
2012-07-01,CABA,1 y 2 estrellas,0.47,""
2012-07-01,CABA,3 estrellas/boutiques/aparts,0.52,""
2012-07-01,CABA,4 y 5 estrellas,0.51,""
2012-07-01,CABA,Para Hoteles,0.37,""
2012-07-01,CABA,Total,0.48,""
2012-07-01,Cuyo,1 y 2 estrellas,0.29,""
2012-07-01,Cuyo,3 estrellas/boutiques/aparts,0.35,""
2012-07-01,Cuyo,4 y 5 estrellas,0.4,""
2012-07-01,Cuyo,Para Hoteles,0.23,""
2012-07-01,Cuyo,Total,0.32,""
2012-07-01,Córdoba,1 y 2 estrellas,0.25,""
2012-07-01,Córdoba,3 estrellas/boutiques/aparts,0.36,""
2012-07-01,Córdoba,4 y 5 estrellas,0.45,""
2012-07-01,Córdoba,Para Hoteles,0.24,""
2012-07-01,Córdoba,Total,0.29,""
2012-07-01,Litoral,1 y 2 estrellas,0.31,""
2012-07-01,Litoral,3 estrellas/boutiques/aparts,0.38,""
2012-07-01,Litoral,4 y 5 estrellas,0.44,""
2012-07-01,Litoral,Para Hoteles,0.31,""
2012-07-01,Litoral,Total,0.37,""
2012-07-01,Norte,1 y 2 estrellas,0.33,""
2012-07-01,Norte,3 estrellas/boutiques/aparts,0.42,""
2012-07-01,Norte,4 y 5 estrellas,0.55,""
2012-07-01,Norte,Para Hoteles,0.33,""
2012-07-01,Norte,Total,0.38,""
2012-07-01,Patagonia,1 y 2 estrellas,0.5,""
2012-07-01,Patagonia,3 estrellas/boutiques/aparts,0.41,""
2012-07-01,Patagonia,4 y 5 estrellas,0.47,""
2012-07-01,Patagonia,Para Hoteles,0.28,""
2012-07-01,Patagonia,Total,0.4,""
2012-08-01,Buenos Aires,1 y 2 estrellas,0.11,""
2012-08-01,Buenos Aires,3 estrellas/boutiques/aparts,0.18,""
2012-08-01,Buenos Aires,4 y 5 estrellas,0.19,""
2012-08-01,Buenos Aires,Para Hoteles,0.14,""
